archivo,pagina,codigo_pdf,nombre_pdf,presentacion_pdf,nombre_norm,px
p04_dd0a476f.webp,4,12021,Papa Ondulada 1/2 Natural,13.6kg/6,papa ondulada 1/2 natural,382x252
p04_b5db92ff.webp,4,I11,Papa Ondulada 3/8 x 5/16 Natural,13.6kg/6,papa ondulada 3/8 x 5/16 natural,340x227
p04_05f7c859.webp,4,32L,PAPAS Papa Recta 3/8 Papa Marinada,13.6kg/6,papas papa recta 3/8 papa marinada,384x256
p04_3a010844.webp,4,,MARINADAS Steakhouse Cut Papa Recta 3/8 X7211 Cáscara,13.6kg/6,marinadas steakhouse cut papa recta 3/8 x7211 cascara,384x256
p05_0f7f9ef9.webp,5,S19,Papa Stealth 3/8 Con Cáscara,13.6kg/6,papa stealth 3/8 con cascara,340x227
p05_12146d52.webp,5,S0022,Papa Ondulada Stealth 5/16,13.6kg/6,papa ondulada stealth 5/16,340x227
p05_69d24df1.webp,5,H72,Papa Recta 1/4 Con Cobertura,16.3kg/6,papa recta 1/4 con cobertura,340x227
p05_5ffd04d3.webp,5,S34,Papa,,papa,340x227
p05_01fa3039.webp,5,S57,Stealth 1/4 Sin Papa Cáscara,12.2kg/6,stealth 1/4 sin papa cascara,384x256
p05_597529b9.webp,5,,Stealth 3/8 Sin Cáscara,13.6kg/6,stealth 3/8 sin cascara,327x219
p06_cc97f4d8.webp,6,,Papa Twister™ Sazonada,13.6kg/6,papa twister™ sazonada,340x227
p06_b649c2f0.webp,6,D23,Papa CrissCut™ Sazonada,12.2kg/6,papa crisscut™ sazonada,340x227
p06_23799e63.webp,6,LW200,Delivery,,delivery,340x227
p06_cfc6060a.webp,6,LW203,Papa Crispy On Papa Crispy On 3/8 Delivery 1/4,13.6kg/6,papa crispy on papa crispy on 3/8 delivery 1/4,340x227
p06_e88c8fcf.webp,6,B91,PAPAS Papa Recta 5/16 Seashore,13.6kg/6,papas papa recta 5/16 seashore,340x227
p06_60567ac7.webp,6,C2700,SAZONADAS Papa Recta 3/8 Sazonada,13.6kg/6,sazonadas papa recta 3/8 sazonada,340x227
p06_f83887af.webp,6,,Papa Gajo Sazonada,13.6kg/6,papa gajo sazonada,138x184
p07_66290b3d.webp,7,,Hashbrown Ovalada Hashbrown Triangular W7981 UB52,13.6kg/6,hashbrown ovalada hashbrown triangular w7981 ub52,384x256
p07_3d6273e0.webp,7,H3031,Chips Clásicas Papa,13.6kg/5,chips clasicas papa,340x227
p07_d35c8648.webp,7,30H,Papa,,papa,340x227
p07_6803e22a.webp,7,,Chips Estilo Rejilla,11.3kg/5,chips estilo rejilla,384x256
p08_d655a438.webp,8,30423,Aro de Cebolla Capeado,4.53kg/4,aro de cebolla capeado,340x227
p08_35af5b5a.webp,8,30410,Aro de Cebolla Gourmet,7.25kg/8,aro de cebolla gourmet,340x227
p08_c78ec84f.webp,8,3412,Dedo de Queso Mozzarella,5.44kg,dedo de queso mozzarella,340x227
p08_588bf7fa.webp,8,,Queso Queso Mozzarella! Mozzarella! Queso Mozzarella!,,queso queso mozzarella! mozzarella! queso mozzarella!,420x420
p08_69d6d9c8.webp,8,DQS,Dedo de Queso para Freidora,12/24lb,dedo de queso para freidora,340x227
p08_5c4090bd.webp,8,34000,Aro de Cebolla Preformado,7.25kg/6,aro de cebolla preformado,340x227
p08_90cb594c.webp,8,L0092,Queso Papa Sweet Things™ 3/8,8.16kg/6,queso papa sweet things™ 3/8,555x226
p09_b01097d1.webp,9,,Bachoco,3.63kg,bachoco,300x300
p09_815c705f.webp,9,,Bachoco,4.54kg,bachoco,300x300
p09_f9d90d91.webp,9,,Bachoco,≈12kg,bachoco,245x245
p09_556b0812.webp,9,,Pechuga de Pollo Boneless Agrosuper,13kg,pechuga de pollo boneless agrosuper,300x190
p09_5b75ee7f.webp,9,,Freskecito,≈10kg,freskecito,540x540
p09_2365241f.webp,9,,Freskecito,≈10kg,freskecito,540x540
p09_97658d60.webp,9,,Pilgrim’s,12kg,pilgrim’s,320x320
p09_f255ccb5.webp,9,,Pilgrim’s,12kg,pilgrim’s,320x320
p09_5b52252a.webp,9,,Pechuga,12kg,pechuga,320x320
p11_ec890b69.webp,11,,El toque crunchy para tu pizza!,,el toque crunchy para tu pizza!,360x360
p11_cfaf6f20.webp,11,,Pepperoni Tocino El topping por excelencia!,,pepperoni tocino el topping por excelencia!,390x219
